log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T
0.9042181506,-3.0878475625,-0.2669648309,0.035335689,0.7067137809
1.9021075264,-0.5621189182,3.0445224377,0.042625746,0.852514919
3.3568971228,0.1160036758,3.0335096379,0.064683053,1.2936610608
1.8594181177,-0.1892253331,3.0445224377,0.03894081,0.7788161994
0.7561219797,-3.1512171764,-0.2941026403,0.0303951368,0.6079027356
3.2542429687,0.1160036758,3.0335096379,0.0584795322,1.1695906433
1.8437192082,-0.5700449834,3.0445224377,0.0460405157,0.9208103131
0.8415671857,-3.026191481,-0.2876820725,0.0362056481,0.7241129616
0.8153648133,-3.1465551633,-0.2876820725,0.0305436775,0.6108735492
3.1780538303,0.1160036758,3.0335096379,0.0445235975,0.8904719501
2.0643279039,-0.0656057571,3.0445224377,0.0476190476,0.9523809524
2.7806808921,-2.302585093,1.3150668518,0.0412881916,0.8257638315
2.0819384219,-0.2393999738,3.0445224377,0.0461254613,0.9225092251
2.7330679641,-2.302585093,1.2798221166,0.042158516,0.8431703204
3.1223649245,-0.5709295478,3.0392705756,0.0549450549,1.0989010989
1.6034198401,0.2437301849,3.0445224377,0.0435919791,0.8718395815
1.9021075264,-0.5621189182,3.0445224377,0.0408496732,0.8169934641
1.6505798558,0.2468600779,3.0445224377,0.0530222694,1.0604453871
1.8115620965,-0.379212737,3.0445224377,0.0443655723,0.8873114463
0.8153648133,-3.0449225177,-0.2843542824,0.034106412,0.6821282401
1.4109869737,0.109750864,3.0445224377,0.0471253534,0.9425070688
1.5195132049,-0.1335313926,3.0445224377,0.0419463087,0.8389261745
1.5810384379,0.2078268472,3.0445224377,0.0542888165,1.0857763301
3.1527360224,0.1160036758,3.0335096379,0.0551267916,1.1025358324
2.1435893615,-0.0516091337,3.0445224377,0.042408821,0.8481764207
2.8959119383,-0.5709295478,3.0392705756,0.0530222694,1.0604453871
3.1354942159,0.1160036758,3.0335096379,0.0450856628,0.9017132552
2.7133693626,-2.9669504721,0.6476266653,0.0399361022,0.7987220447
1.605429891,0.2151113796,3.0445224377,0.0536480687,1.0729613734
2.9652730661,0.1160036758,3.0335096379,0.0459981601,0.9199632015
3.258096538,-0.5709295478,3.0392705756,0.0669344043,1.3386880857
2.7376090033,-2.5902671654,1.0246068754,0.040950041,0.819000819
2.7206373166,-2.302585093,1.2798221166,0.0431778929,0.8635578584
1.9021075264,-0.5621189182,3.0445224377,0.0425531915,0.8510638298
1.9021075264,-0.5621189182,3.0445224377,0.0400320256,0.8006405124
3.0910424534,0.1160036758,3.0335096379,0.0506585613,1.0131712259
1.4883995841,-0.1863295782,3.0445224377,0.0483091787,0.9661835749
1.8562979904,-0.5293290953,3.0445224377,0.0419815281,0.8396305626
1.8825138325,0.1646666216,3.0445224377,0.0494559842,0.9891196835
0.8329091229,-3.1465551633,-0.3133418192,0.0358680057,0.7173601148
1.7544036827,-0.7776163372,3.0445224377,0.0379075057,0.7581501137
2.758109401,-2.302585093,1.2798221166,0.0418060201,0.8361204013
0.8153648133,-3.0470255679,-0.2876820725,0.0344827586,0.6896551724
0.8796267475,-3.1122660898,-0.2876820725,0.0356379187,0.7127583749
3.295836866,0.1160036758,3.0335096379,0.0687757909,1.3755158184
1.8825138325,0.1561486825,3.0445224377,0.0521920668,1.0438413361
1.5018527018,0,3.0445224377,0.0512295082,1.0245901639
2.9391619221,-0.5709295478,3.0392705756,0.0476644423,0.9532888465
1.8017098001,0.5062150112,3.0445224377,0.0487804878,0.9756097561
1.960094784,-1.5606477483,3.0445224377,0.0421229992,0.8424599832
1.7934247485,0.4014570867,3.0445224377,0.0536480687,1.0729613734
1.5851452199,-0.1132806865,3.0445224377,0.0447227191,0.8944543828
2.9123506646,-0.5709295478,3.0392705756,0.0462107209,0.9242144177
0.8064758659,-3.0576076773,-0.2876820725,0.0327225131,0.6544502618
1.8325814637,-0.5918549291,3.0445224377,0.0451671183,0.9033423668
1.6486586256,-2.715074816,3.0445224377,0.0440917108,0.8818342152
0.8501509294,-2.9957322736,-0.2891498157,0.0360490267,0.7209805335
1.6174060821,0.7598708126,3.0445224377,0.051072523,1.0214504597
1.5953389881,-1.3727860111,3.0445224377,0.0429922614,0.8598452279
1.9459101491,0.1535790879,3.0445224377,0.0531914894,1.0638297872
1.6094379124,-0.0728933255,3.0445224377,0.0553709856,1.1074197121
2.7769541797,-2.302585093,1.2798221166,0.0410846343,0.8216926869
3.1311369106,0.1160036758,3.0335096379,0.0511247444,1.0224948875
3.1135153092,0.1160036758,3.0335096379,0.0575373993,1.1507479862
1.3862943611,-1.5731059832,3.0445224377,0.0463821892,0.9276437848
1.9021075264,-0.5621189182,3.0445224377,0.0438212095,0.8764241893
3.2921262866,0.1160036758,3.0335096379,0.0611246944,1.2224938875
0.8109302162,-3.1122660898,-0.2876820725,0.037593985,0.7518796992
1.9021075264,-0.5621189182,3.0445224377,0.0451263538,0.9025270758
0.7275486073,-2.9759296463,-0.2781278596,0.0350385424,0.7007708479
1.8229350867,-0.6281087844,3.0445224377,0.042662116,0.8532423208
1.5347143662,-1.6820086053,3.0445224377,0.041356493,0.8271298594
1.5665304114,-1.0532565869,3.0445224377,0.0402900886,0.8058017728
0.7514160887,-3.026191481,-0.2876820725,0.0301750151,0.6035003018
1.5432981099,-0.2984060358,3.0445224377,0.0498504487,0.9970089731
1.9021075264,-0.5621189182,3.0445224377,0.0421229992,0.8424599832
3.1398326175,-0.5709295478,3.0392705756,0.0572737686,1.1454753723
2.0643279039,0.0243022925,3.0445224377,0.0428449015,0.8568980291
3.1090609589,0.1160036758,3.0335096379,0.0496031746,0.9920634921
3.0445224377,0.1160036758,3.0335096379,0.0530785563,1.0615711253
2.817203515,-2.302585093,1.2798221166,0.0406504065,0.8130081301
2.7421295148,-2.9669504721,0.6476266653,0.0378214826,0.756429652
1.7783364489,-0.4625117635,3.0445224377,0.0371747212,0.7434944238
2.0188950418,-0.9416085399,3.0445224377,0.0402252615,0.8045052293
2.1400661635,-0.3732399608,3.0445224377,0.0448833034,0.8976660682
3.1484533606,0.1160036758,3.0335096379,0.0608272506,1.2165450122
3.010620886,-0.5709295478,3.0392705756,0.0447227191,0.8944543828
1.8033586051,-0.5516476183,3.0445224377,0.0438596491,0.8771929825
0.737164066,-3.0576076773,-0.2876820725,0.0310173697,0.6203473945
1.7316555452,-1.6581030844,3.0445224377,0.0449640288,0.8992805755
3.0540011817,-0.5709295478,3.0392705756,0.0429922614,0.8598452279
1.8325814637,-0.0015011261,3.0445224377,0.0542888165,1.0857763301
3.0155349009,0.1160036758,3.0335096379,0.0504032258,1.0080645161
3.0252910758,0.1160036758,3.0335096379,0.0440528634,0.8810572687
0.8109302162,-2.9957322736,-0.2876820725,0.0338524035,0.6770480704
1.903598951,-0.4946242444,3.0445224377,0.04784689,0.956937799
1.8515994696,-0.3093824994,3.0445224377,0.0428082192,0.8561643836
1.8562979904,-0.6616485135,3.0445224377,0.0468164794,0.936329588
1.8437192082,-0.6885577282,3.0445224377,0.0463821892,0.9276437848
2.778819272,-2.302585093,1.3150668518,0.0410172272,0.8203445447
3.0445224377,-0.5709295478,3.0392705756,0.043516101,0.8703220191
2.9285235239,0.1160036758,3.0335096379,0.0444444444,0.8888888889
1.9021075264,-0.5621189182,3.0445224377,0.0444049734,0.8880994671
0.760805829,-3.1010927892,-0.2876820725,0.031585597,0.6317119394
3.5174978374,0.1160036758,3.0335096379,0.0447227191,0.8944543828
2.1090003439,-0.3606829653,3.0445224377,0.0444839858,0.8896797153
1.5830939371,-0.9023878267,3.0445224377,0.0512295082,1.0245901639
1.6213664833,-1.0679860951,3.0445224377,0.0419463087,0.8389261745
0.8109302162,-2.9957322736,-0.2515430258,0.0321957502,0.6439150032
1.5062971535,-1.5779392454,3.0445224377,0.0370096225,0.74019245
3.0007198151,-0.5709295478,3.0392705756,0.0474383302,0.9487666034
3.0349529867,0.1160036758,3.0335096379,0.0453720508,0.9074410163
0.8628899551,-3.0576076773,-0.2876820725,0.0355618777,0.7112375533
0.7275486073,-2.9857819427,-0.2974630843,0.0323624595,0.6472491909
2.7682041239,-2.302585093,1.3150668518,0.042408821,0.8481764207
1.9021075264,-0.5621189182,3.0445224377,0.0403877221,0.8077544426
1.4422019931,-0.3863980454,3.0445224377,0.0503524673,1.0070493454
1.8421356766,0.5888971592,3.0445224377,0.0532481363,1.0649627263
0.8458682676,-3.1122660898,-0.2876820725,0.034965035,0.6993006993
1.8341801851,0.4081282255,3.0445224377,0.0596658711,1.1933174224
2.1552445051,-0.7176448122,3.0445224377,0.0409836066,0.8196721311
1.3887912413,-0.5698681644,3.0445224377,0.0436300175,0.872600349
0.7975071959,-3.0365542681,-0.2876820725,0.0334224599,0.6684491979
1.8213182715,-0.5659860349,3.0445224377,0.0447227191,0.8944543828
2.7625383864,-2.5902671654,1.0246068754,0.0409165303,0.8183306056
0.824175443,-3.0791138825,-0.2722025016,0.0355366027,0.710732054
1.7613002617,0.253866724,3.0445224377,0.0518672199,1.0373443983
3.0955776085,0.1160036758,3.0335096379,0.0482625483,0.9652509653
2.7408400239,-2.302585093,1.3083328197,0.035161744,0.7032348805
1.7509374747,-0.5561717255,3.0445224377,0.0476644423,0.9532888465
0.760805829,-3.0365542681,-0.2698421543,0.0309023486,0.6180469716
1.6193882433,0.1466943792,3.0445224377,0.0524109015,1.0482180294
1.8293763328,-0.2781278596,3.0445224377,0.0400320256,0.8006405124
3.4307561839,-0.5709295478,3.0392705756,0.0447627574,0.8952551477
1.2837077723,-0.6931471806,1.3862943611,0.1279099514,0.7674597084
0.5481214085,-1.3862943611,1.3862943611,0.1319609396,0.7917656374
1.244154594,-0.6931471806,1.3862943611,0.119474313,0.7168458781
0.5538851132,-0.6931471806,1.3862943611,0.1119319454,0.6715916723
0.5596157879,-1.3862943611,1.3862943611,0.1193032689,0.7158196135
0.4824261492,-1.3862943611,1.3862943611,0.116713352,0.700280112
1.2837077723,-0.6931471806,1.3862943611,0.1314405889,0.7886435331
0.6678293726,-0.6931471806,1.3862943611,0.1278118609,0.7668711656
0.5007752879,-1.3862943611,1.3862943611,0.1193887297,0.7163323782
0.6043159669,-0.6931471806,1.3862943611,0.1168770453,0.7012622721
0.5364933705,-1.3862943611,1.3862943611,0.1087192868,0.6523157208
0.6931471806,-0.6931471806,1.3862943611,0.1315443304,0.7892659826
1.2267122913,-0.6931471806,1.3862943611,0.1150218542,0.6901311249
1.2892326483,-1.1394342832,1.3862943611,0.0602119461,0.7225433526
1.32175584,-1.1394342832,1.3862943611,0.0631791761,0.7581501137
0.6729444732,-1.1394342832,1.3862943611,0.0601684717,0.7220216606
0.6981347221,-1.8325814637,1.3862943611,0.0603864734,0.7246376812
0.7839015438,-1.8325814637,1.3862943611,0.0665601704,0.7987220447
1.3376291891,-1.1394342832,1.3862943611,0.0654621629,0.7855459544
1.2781522025,-1.1394342832,1.3862943611,0.0586441473,0.7037297678
0.6678293726,-1.1394342832,1.3862943611,0.0628930818,0.7547169811
1.2149127444,-1.1394342832,1.3862943611,0.0650026001,0.7800312012
0.6471032421,-1.8325814637,1.3862943611,0.0581125058,0.6973500697
0.7275486073,-1.8325814637,1.3862943611,0.0654621629,0.7855459544
0.6830968447,-1.8325814637,1.3862943611,0.0637592451,0.7651109411
0.6259384309,-1.9449106487,1.3862943611,0.0529100529,0.7407407407
1.2753628004,-1.2517634682,1.3862943611,0.052061641,0.7288629738
0.5596157879,-1.9449106487,1.3862943611,0.0536653429,0.7513148009
1.2412685891,-1.2517634682,1.3862943611,0.0565546884,0.7917656374
0.5766133643,-1.9449106487,1.3862943611,0.0510568774,0.7147962831
0.6729444732,-1.9449106487,1.3862943611,0.0556297285,0.7788161994
0.6471032421,-1.2517634682,1.3862943611,0.0537056928,0.7518796992
0.6205764877,-1.2517634682,1.3862943611,0.052252064,0.7315288954
0.652325186,-1.9449106487,1.3862943611,0.0547345375,0.7662835249
0.5877866649,-1.2517634682,1.3862943611,0.0516102395,0.7225433526
0.5988365011,-1.9449106487,1.3862943611,0.0485908649,0.6802721088
0.1823215568,0.1823215568,1.887069649,0.0686813187,0.6868131868
0.5423242908,-2.9957322736,-0.5978370008,0.0716845878,0.7168458781
4.0552571735,0.6280751838,3.0252910758,0.0993048659,0.9930486594
0.2231435513,-1.0216512475,1.4816045409,0.0666222518,0.6662225183
0.1988508587,0.1823215568,2.5802168296,0.0687285223,0.6872852234
0.7677907236,-3.5065578973,-1.1086626245,0.0669344043,0.6693440428
0.7561219797,-1.6094379124,0.7884573604,0.068119891,0.6811989101
0.1310282624,0.1823215568,2.1747517215,0.0682593857,0.6825938567
0.7654678421,-0.9162907319,1.4816045409,0.069735007,0.6973500697
0.1988508587,-0.9162907319,2.1747517215,0.0742390497,0.7423904974
3.9815490681,0.6280751838,3.0252910758,0.0987166831,0.9871668312
2.8166056077,0.6280751838,3.0252910758,0.0954198473,0.9541984733
3.9926809084,0.6280751838,3.0252910758,0.0977517107,0.9775171065
0.1906203596,0.1823215568,1.887069649,0.0659630607,0.6596306069
0.1988508587,-0.9162907319,0.7884573604,0.0617665225,0.6176652254
0.292669614,-0.9162907319,2.1747517215,0.0743494424,0.7434944238
0.8162493777,-3.5065578973,-1.1086626245,0.0665778961,0.6657789614
0.6881346387,0.6280751838,3.0252910758,0.0725689405,0.7256894049
1.7387102481,-0.9162907319,1.4816045409,0.0703729768,0.7037297678
4.0792309244,0.6280751838,3.0252910758,0.0973709834,0.9737098345
1.4255150743,-0.9162907319,1.4816045409,0.0707714084,0.7077140835
0.2623642645,-0.9162907319,2.1747517215,0.0742390497,0.7423904974
0.760805829,-3.5065578973,-1.1086626245,0.0644745326,0.6447453256
0.2390169005,0.1823215568,2.1747517215,0.0709723208,0.7097232079
2.4680995315,0.6280751838,3.0252910758,0.0775193798,0.7751937984
0.1739533071,0.5596157879,2.9806186357,0.0752445448,0.7524454477
2.7166795278,-2.302585093,0.7884573604,0.081366965,0.8136696501
0.7561219797,-0.9162907319,1.4816045409,0.0687285223,0.6872852234
0.1988508587,-0.9162907319,1.5686159179,0.0695410292,0.6954102921
0.8903573498,-3.5065578973,-1.1086626245,0.0736377025,0.736377025
2.7265447837,-2.302585093,0.7884573604,0.0809061489,0.8090614887
0.2546422184,0.1823215568,2.1747517215,0.0708717222,0.7087172218
0.7227059828,-0.9162907319,1.4816045409,0.0665335995,0.6653359947
0.2623642645,0.1823215568,2.5802168296,0.074906367,0.7490636704
0.7323678937,-1.6094379124,0.7884573604,0.0666222518,0.6662225183
2.9917242522,0.6280751838,3.0252910758,0.1176470588,1.1764705882
2.3272777056,0.6280751838,3.0252910758,0.0769822941,0.7698229407
0.1570037488,-0.2231435513,2.1747517215,0.0701262272,0.7012622721
2.7080502011,-2.302585093,0.7884573604,0.0786782061,0.7867820614
3.9569963711,0.6280751838,3.0252910758,0.0896860987,0.8968609865
0.1823215568,0.1823215568,2.5802168296,0.0741289844,0.7412898443
0.7323678937,-0.9162907319,1.4816045409,0.0676589986,0.6765899865
1.7173950539,-0.9162907319,1.4816045409,0.0728862974,0.7288629738
0.1988508587,-0.9162907319,0.7884573604,0.0596658711,0.5966587112
4.0145795938,0.6280751838,3.0252910758,0.1072961373,1.0729613734
0.6365768291,0.6280751838,3.0252910758,0.0769822941,0.7698229407
0.6780335427,0.6280751838,3.0252910758,0.0800640512,0.8006405124
0.2546422184,-0.9162907319,2.1747517215,0.0742390497,0.7423904974
1.4134230285,-0.9162907319,1.4816045409,0.0683526999,0.6835269993
1.7281094422,-0.9162907319,1.4816045409,0.0714285714,0.7142857143
1.3001916621,-3.5065578973,-1.1086626245,0.0649350649,0.6493506494
0.1988508587,-1.0216512475,1.4816045409,0.0670241287,0.6702412869
3.9871304779,0.6280751838,3.0252910758,0.1100110011,1.100110011
0.1823215568,-0.9162907319,2.1747517215,0.0687285223,0.6872852234
0.2070141694,-0.9162907319,2.1747517215,0.0716332378,0.7163323782
3.9721769282,0.6280751838,3.0252910758,0.0940733772,0.9407337723
4.0943445622,0.6280751838,3.0252910758,0.1083423619,1.0834236186
0.1823215568,0.1823215568,1.887069649,0.0702740689,0.7027406887
0.858661619,-3.5065578973,-1.1086626245,0.0664010624,0.6640106242
0.8441500541,-3.5065578973,-1.1086626245,0.0725689405,0.7256894049
0.476234179,-2.9957322736,-0.5978370008,0.064683053,0.6468305304
1.393766376,-0.9162907319,1.4816045409,0.0677506775,0.6775067751
0.2151113796,0.5596157879,2.9806186357,0.0721500722,0.7215007215
1.7369512327,-0.9162907319,1.4816045409,0.0727272727,0.7272727273
0.231111721,-0.9162907319,0.7884573604,0.0654022237,0.6540222368
0.7654678421,-1.6094379124,0.7884573604,0.0698324022,0.6983240223
2.9892110566,0.6280751838,3.0252910758,0.1103752759,1.1037527594
0.2231435513,-1.0216512475,1.4816045409,0.0677506775,0.6775067751
0.7677907236,-3.5065578973,-1.1086626245,0.0669344043,0.6693440428
1.6882490929,-0.9162907319,1.4816045409,0.0704721635,0.704721635
1.32175584,-3.5065578973,-1.1086626245,0.0584795322,0.5847953216
0.760805829,-0.9162907319,1.4816045409,0.0708215297,0.7082152975
0.1397619424,-0.2231435513,2.1747517215,0.0725689405,0.7256894049
0.2070141694,-0.9162907319,1.4816045409,0.067294751,0.6729475101
3.9120230054,0.6280751838,3.0252910758,0.0946073794,0.9460737938
0.2390169005,-0.9162907319,1.4816045409,0.0685871056,0.6858710562
1.7316555452,-0.9162907319,1.4816045409,0.0693481276,0.693481276
0.2390169005,0.1823215568,2.5802168296,0.0709723208,0.7097232079
2.4194788445,0.6280751838,3.0252910758,0.0809061489,0.8090614887
2.3292270239,0.6280751838,3.0252910758,0.0744047619,0.744047619
0.2776317366,-0.9162907319,2.1747517215,0.0707714084,0.7077140835
2.7606426512,-2.302585093,0.7884573604,0.081300813,0.8130081301
4.1042948931,0.6280751838,3.0252910758,0.1079913607,1.0799136069
0.8250522514,-3.5065578973,-1.1086626245,0.0727272727,0.7272727273
1.0508216248,-3.5065578973,-1.1086626245,0.0730994152,0.730994152
2.9957322736,0.6280751838,3.0252910758,0.1240694789,1.2406947891
0.6151856391,0.6280751838,3.0252910758,0.0736377025,0.736377025
0.7884573604,-1.6094379124,1.1314021115,0.0445156695,0.7122507123
0.2151113796,-1.6094379124,1.1314021115,0.0429258242,0.6868131868
0.7466879475,-3.5065578973,-0.5418004281,0.042749658,0.683994528
1.6370530795,0.3646431136,3.0445224377,0.0578168363,0.9250693802
0.7323678937,-3.5065578973,-0.7657178734,0.037627935,0.6020469597
1.5173226235,0.3866220203,3.0445224377,0.0563570784,0.9017132552
0.2070141694,-1.6094379124,1.1314021115,0.0425170068,0.6802721088
0.7080357931,-3.5065578973,-0.5418004281,0.0409567497,0.6553079948
0.7929925155,-3.5065578973,-0.7657178734,0.0409836066,0.6557377049
0.5247285289,-3.399199379,-0.2070241694,0.0470987189,0.7535795026
0.231111721,-1.6094379124,1.1314021115,0.0447387258,0.7158196135
0.7514160887,-3.5065578973,-0.7657178734,0.039707751,0.6353240152
0.7654678421,-3.5065578973,-0.7657178734,0.0366354045,0.5861664713
0.476234179,-3.3104430184,-0.2070241694,0.0410104987,0.656167979
0.2151113796,-0.0512932944,1.8229350867,0.2,0.8
0.1739533071,0.6931471806,2.5649493575,0.1677852349,0.6711409396
0.1222176327,0,1.1786549963,0.1545117429,0.6180469716
0.2070141694,-0.0512932944,1.8229350867,0.1959247649,0.7836990596
0.6780335427,0,1.8718021769,0.1702997275,0.6811989101
0.1310282624,0,1.8718021769,0.1667778519,0.6671114076
0.2776317366,0,1.8718021769,0.1685772084,0.6743088334
0.1655144385,-0.6931471806,1.1786549963,0.1652346332,0.6609385327
1.6714733034,-0.0512932944,1.8229350867,0.1692620176,0.6770480704
0.1823215568,0,1.8718021769,0.1691474966,0.6765899865
0.1570037488,0.6931471806,2.5649493575,0.1745810056,0.6983240223
1.6900958155,-0.0512932944,1.8229350867,0.162022035,0.64808814
0.7080357931,0,1.8718021769,0.1785714286,0.7142857143
1.3376291891,0,1.8718021769,0.1786990708,0.7147962831
1.6937790609,-0.0512932944,1.8229350867,0.2032520325,0.8130081301
0.2390169005,-0.6931471806,1.1786549963,0.1744591766,0.6978367062
1.6677068206,-0.0512932944,1.8229350867,0.1785714286,0.7142857143
0.0295588022,0,1.1786549963,0.150060024,0.600240096
0.1655144385,0.6931471806,2.5649493575,0.1805054152,0.7220216606
0.6931471806,0,1.8718021769,0.1719394773,0.6877579092
0.7701082217,-2.9957322736,-1.1239300967,0.163291966,0.6531678641
0.1397619424,0.6931471806,2.5649493575,0.1743375174,0.6973500697
0.2151113796,-0.0512932944,1.8229350867,0.1577287066,0.6309148265
0.1397619424,0.6931471806,2.5649493575,0.1718213058,0.6872852234
0.2070141694,-0.0512932944,1.8229350867,0.1654533422,0.6618133686
0.1222176327,0,1.8718021769,0.1605651895,0.6422607579
0.2851789422,-0.6931471806,1.1786549963,0.1631853786,0.6527415144
0.0676586485,0,1.1786549963,0.1622323167,0.6489292667
0.1655144385,0,1.8718021769,0.1779359431,0.7117437722
0.39877612,-0.0512932944,1.8229350867,0.1803751804,0.7215007215
0.1310282624,0,1.8718021769,0.1727712509,0.6910850035
0.7030975114,-2.9957322736,-1.1239300967,0.1419647927,0.5678591709
0.1823215568,-0.6931471806,1.1786549963,0.1691474966,0.6765899865
0.1570037488,-0.6931471806,1.1786549963,0.1601537476,0.6406149904
0.1043600153,0,2.5649493575,0.1770538244,0.7082152975
0.0769610411,0,2.5649493575,0.1758087201,0.7032348805
0.1739533071,0,1.8718021769,0.1779359431,0.7117437722
0.1133286853,0,1.8718021769,0.1661129568,0.6644518272
0.2151113796,-0.0512932944,1.8229350867,0.1724137931,0.6896551724
0.7227059828,-2.9957322736,-1.1239300967,0.1564455569,0.6257822278
0.6881346387,0,1.8718021769,0.1776830135,0.710732054
0.1043600153,0,2.5649493575,0.1805054152,0.7220216606
1.6974487898,-0.0512932944,1.8229350867,0.1951600312,0.7806401249
0.3148107398,-0.6931471806,1.1786549963,0.1617076326,0.6468305304
0.0582689081,0,1.1786549963,0.1536570375,0.61462815
0.1310282624,0,2.5649493575,0.1849112426,0.7396449704
0.0769610411,0,1.1786549963,0.1441753172,0.5767012687
0.1222176327,0,1.1786549963,0.1585288523,0.634115409
